Little Garden,One Pace Episode,Chapters,Episodes,Release Date,Length,MKV CRC32
,Little Garden 01,Ch. 115-117,Ep. 70-71,2025.03.22,00:30:07,FA63AC14
,Little Garden 02,Ch. 117-118,Ep. 71-72,2025.04.18,00:27:45,64714640
,Little Garden 03,Ch. 119-122,Ep. 73-74,2025.04.18,00:29:12,0AB937B1
,Little Garden 04,Ch. 123-126,Ep. 75-76,2025.07.12,00:34:20,8BE7A415
,Little Garden 05,Ch. 127-129,Ep. 77-79,2025.07.19,00:26:58,51105EBB
