Drum Island,One Pace Episode,Chapters,Episodes,Release Date,Length,MKV CRC32
,Drum Island 01,Ch. 129-132,Ep. 78-79,2022.09.26,00:29:37,FD2B4F32
,Drum Island 02,Ch. 132-135,Ep. 80-81,2022.09.26,00:33:04,8FDCC832
,Drum Island 03,Ch. 136-139,Ep. 82-83,2022.09.26,00:34:29,2971EF62
,Drum Island 04,Ch. 139-140,Ep. 84,2022.09.26,00:20:15,902076E8
,Drum Island 05,Ch. 140-145,Ep. 85-86,2023.03.21,00:39:26,E7044DBE
,Drum Island 06,Ch. 145-148,"Ep. 83, 86-88",2023.05.08,00:25:33,A5145C90
,Drum Island 07,Ch. 149-152,Ep. 88-90,2023.06.18,00:33:31,B1D913B9
,Drum Island 08,Ch. 153-156,Ep. 90-91,2023.07.05,00:29:50,9794072D
