Jaya,One Pace Episode,Chapters,Episodes,Release Date,Length,MKV CRC32
,Jaya 01,Ch. 218-220,Ep.143-144,2023-01-28,00:21:03,2BBCD106
,Jaya 02,Ch. 221-224,Ep.145-146,2023-02-10,00:32:35,6DAB82A3
,Jaya 03,Ch. 225-226,Ep.147,2023-03-11,00:20:06,B4950266
,Jaya 04,Ch. 227-228,Ep.148,2023-08-12,00:20:03,86DC8F38
,Jaya 05,Ch. 229-230,Ep.149,2023-08-20,00:21:37,E468A31D
,Jaya 06,Ch. 231-232,Ep.150,2023-09-08,00:17:14,8783E1B0
,Jaya 07,Ch. 232-234,"Ep.145,151",2023-09-16,00:24:41,580A0C3B
,Jaya 08,Ch. 235-236,Ep.152,2023-09-30,00:19:06,FA2E5ADD
