Loguetown,One Pace Episode,Chapters,Episodes,Release Date,Length,MKV CRC32
,Loguetown 01,Ch. 96-97,"Ep. 45,48-49",2020-09-22,00:27:32,4200CE0D
,Loguetown 02,Ch. 97,"Ep. 48, 50",2020-09-22,00:31:24,8E970FD4
,Loguetown 03,Ch. 98-100,Ep. 52-53,2020-09-22,00:36:13,23E3E489
